CAMERA,FIRMWARE,BETA_STATUS,COPY_TO,SKIP_AUTOBUILD
a1100,100c,BETA,,
a2000,100c,BETA,100a:100b,
a3000,100b,BETA,,
a3000,100c,BETA,,
a3000,100d,BETA,,
a430,100b,BETA,,SKIP_AUTOBUILD
a450,100d,,,
a460,100d,,,
a470,100e,,,
a470,101b,,101a,
a470,102c,,,
a480,100b,,,
a490,100d,BETA,,
a490,100f,BETA,,
a495,100d,BETA,,
a495,100e,BETA,,
a495,100f,BETA,,
a530,100a,,,
a540,100b,,,
a550,100c,,,
a560,100a,,,
a570,100e,,,
a570,101a,,,
a580,101b,,,
a590,100e,,,
a590,101b,,,
a610,100e,,100d,
a610,100f,,,
a620,100f,,,
a630,100c,,,
a640,100b,,,
a650,100d,,,
a700,100b,,,
a710,100a,,,
a720,100c,,,
d10,100a,BETA,100b,
g10,102a,,,
g10,103b,,,
g10,104a,,,
g11,100f,BETA,,
g11,100j,BETA,100h:100k,
g11,100l,BETA,,
g12,100c,,,
g12,100e,,,
g12,100f,,,
g12,100g,,,
g7,100e,,,
g7,100g,,,
g7,100i,,,
g7,100j,,,
g9,100d,,,
g9,100g,,100f,
g9,100i,,100h,
ixus1000_sd4500,100d,BETA,,SKIP_AUTOBUILD
ixus1000_sd4500,100f,BETA,,SKIP_AUTOBUILD
ixus100_sd780,100b,BETA,,
ixus100_sd780,100c,BETA,,
ixus120_sd940,100e,BETA,,
ixus120_sd940,101a,BETA,,
ixus120_sd940,102c,BETA,,
ixus120_sd940,103b,BETA,,
ixus120_sd940,103c,BETA,,
ixus200_sd980,101c,BETA,,
ixus200_sd980,101d,BETA,,
ixus300_sd4000,100d,BETA,,
ixus310_elph500hs,100a,BETA,,
ixus310_elph500hs,101a,BETA,,
ixus40_sd300,100j,,,
ixus40_sd300,100k,,,
ixus50_sd400,101a,,,
ixus50_sd400,101b,,,
ixus55_sd450,100b,,,
ixus55_sd450,100c,,,
ixus55_sd450,100d,,,
ixus60_sd600,100a,,,
ixus60_sd600,100d,,,
ixus65_sd630,100a,,,
ixus700_sd500,101a,,,
ixus700_sd500,101b,,,
ixus70_sd1000,100c,,,
ixus70_sd1000,101b,,101a,
ixus70_sd1000,102a,,,
ixus750_sd550,100f,,,
ixus750_sd550,100g,,,
ixus750_sd550,100h,BETA,,
ixus75_sd750,100b,,,
ixus75_sd750,101a,,101b,
ixus75_sd750,102a,,,
ixus800_sd700,100b,,,
ixus800_sd700,101b,,101a,
ixus80_sd1100,100c,,,
ixus80_sd1100,101a,,101b,
ixus850_sd800,100e,,100d,
ixus85_sd770,100a,BETA,100b,
ixus860_sd870,100c,,,
ixus870_sd880,100e,,,
ixus870_sd880,101a,,,
ixus870_sd880,102b,,,
ixus900_sd900,100c,,,
ixus90_sd790,100c,BETA,,
ixus90_sd790,100d,BETA,100e,
ixus950_sd850,100c,,,
ixus95_sd1200,100c,BETA,,
ixus960_sd950,100d,,100c,
ixus970_sd890,100b,,,
ixus970_sd890,100c,,100d,
ixus970_sd890,100f,,,
ixus980_sd990,100e,,,
ixus980_sd990,101b,,,
ixusizoom_sd30,100g,,,
ixusW_sd430,110a,,,SKIP_AUTOBUILD
s2is,100e,,,
s2is,100f,,,
s2is,100g,,100i,
s3is,100a,,,
s5is,101a,,,
s5is,101b,,,
s80,100g,,,SKIP_AUTOBUILD
s90,100c,BETA,,
s90,101a,BETA,,
s90,101c,BETA,101b,
s95,100e,BETA,,
s95,100h,BETA,,
s95,100i,BETA,,
s95,100k,BETA,,
sx1,200h,BETA,,
sx1,201a,BETA,,
sx10,100c,,,
sx10,101a,,,
sx10,101b,,,
sx10,102b,,,
sx10,103a,,,
sx100is,100b,,,
sx100is,100c,,,
sx110is,100b,,,
sx130is,101c,BETA,,
sx130is,101d,BETA,,
sx130is,101f,BETA,,
sx150is,100a,ALPHA,,
sx20,100f,BETA,,
sx20,102b,,,
sx20,102d,,102c,
sx200is,100c,,100d,
sx220hs,100a,BETA,,
sx220hs,101a,BETA,,
sx220hs,101b,BETA,,
sx230hs,100c,BETA,,
sx230hs,101a,BETA,,
sx230hs,101b,BETA,101c,
sx30,100e,,,
sx30,100h,,,
sx30,100l,,100m,
sx30,100n,,,
sx30,100p,,,
sx40hs,100f,ALPHA,,
sx40hs,100g,ALPHA,,
tx1,100g,,,
tx1,101b,,,
